Transect,Euphausiidae,Sergestidae,Decapoda,Amphipoda,Myctophidae,Phosichthyidae,Gonostomatidae,Sternoptychidae,Bathylagidae,Chiroteuthidae,Transect_duration,Depth,Salinity,Temperature,Dissolved oxygen,day/night,final_group
transect1,0,0,0,0,0,0,4,0,0,0,15,200,34.7788,11.3781,0.1194,d,Shallower_day
transect2,3,6,1,0,1,2,0,0,0,0,15,200,34.7233,10.5183,0.245,n,Shallower_night
transect3,3,0,0,0,0,0,0,0,0,0,15,200,34.7788,11.96,0.4934,d,Shallower_day
transect4,1,0,0,0,0,1,0,0,0,0,15,200,34.7831,11.9677,0.4838,n,Shallower_night
transect5,2,4,0,0,3,1,0,0,0,0,15,350,34.6768,9.7821,0.0549,d,Shallower_day
transect6,17,0,1,0,1,3,1,0,0,0,15,350,34.7242,10.5533,0.3368,n,Shallower_night
transect7,84,21,0,0,0,0,1,0,1,0,15,350,34.7204,10.4512,0.2935,d,Shallower_day
transect8,0,0,0,0,0,0,2,1,0,0,15,850,34.5572,5.056,0.5276,d,Deeper_day
transect9,0,0,0,0,0,0,7,0,0,0,15,850,34.5554,5.0952,0.5063,d,Deeper_day
transect10,0,0,2,1,0,0,4,1,0,0,15,850,34.556,5.0084,0.5672,n,Deeper_night
transect11,0,0,0,0,1,0,2,1,0,0,15,850,34.5569,5.0842,0.5155,n,Deeper_night
transect12,0,0,2,0,6,0,13,1,1,0,15,850,34.5508,5.681,0.2357,d,Deeper_day
transect13,0,0,0,0,6,0,9,1,0,0,15,850,34.5506,5.7299,0.2288,n,Deeper_night
transect14,0,0,0,0,0,0,2,0,0,0,15,1000,34.5659,4.4181,0.9009,n,Deeper_night
transect15,0,0,1,0,0,0,0,0,0,0,15,1000,34.5518,4.7922,0.671,d,Deeper_day
transect16,0,0,2,2,0,0,1,0,0,1,15,1000,34.5526,4.8414,0.6237,d,Deeper_day
transect17,0,0,2,1,0,0,0,0,0,1,15,1200,34.5696,4.0715,1.0206,n,Deeper_night
transect18,0,0,0,1,0,0,0,0,0,0,15,1500,34.6079,3.0767,1.5184,n,Deeper_night
transect19,0,0,0,1,0,0,0,0,0,0,15,1500,34.5956,3.2552,1.4088,n,Deeper_night